index,Year_UTC,Month_UTC,Day_UTC,hour,minute,second,Station_ID,bottle,Niskin_ID,Latitude,Longitude,Depth,CTDPRES,CTDSAL_PSS78,CTDTEMP_ITS90,oxygen,phosphate,nitrite,silicate,nitrate,density,TA,DIC,TA_ONLY,DIC_ONLY,Cast_number,Time_UTC,TA_flag,DIC_flag,TA_ONLY_flag,DIC_ONLY_flag
396,2022.0,3.0,9.0,21,09,32,22,40620,23.0,-31.43022,-111.98974,7.3,7.3,35.5246,24.554,214.87,0.1210543675326745,,,,1.0243331366506074,2329.4732993695648,2053.4103170613744,,,2,21:09:32,2,2,2,2
411,2022.0,3.0,10.0,04,52,17,22,40588,15.0,-31.43002,-111.98996,1996.4,2020.0,34.6488,2.0331,157.66,2.483224934317829,,109.05284512888927,34.94294095222217,1.0236688448436173,2376.218652087417,2295.206482827108,,,4,04:52:17,2,2,2,2
420,2022.0,3.0,10.0,05,16,24,22,40597,24.0,-31.43006,-111.98996,1099.2,1109.8,34.3777,3.828,162.38,2.541371091909216,,45.95279654885903,35.24210454212746,1.0234632825881353,2303.509474686251,2236.0659686798303,,,4,05:16:24,2,2,2,2
422,2022.0,3.0,10.0,15,24,34,23,40622,2.0,-31.42988,-114.00022,2863.6,2903.4,34.6774,1.7572,164.49,2.473403747674078,,119.9737577702763,34.886519763303454,1.0236905326843724,2390.216401779041,2298.3740321369573,,2317.69262706616,2,15:24:34,2,2,2,2
438,2022.0,3.0,10.0,16,19,06,23,40638,18.0,-31.42994,-114.00022,350.9,353.6,34.4582,10.6423,215.43,1.0971893676804303,,1.525122531566475,14.6826017965285,1.0235243186635468,2275.2739680422083,2124.28056159238,,,2,16:19:06,2,2,2,2
441,2022.0,3.0,10.0,16,26,59,23,40641,21.0,-31.42996,-114.00022,62.3,62.8,35.7157,21.588,235.74,0.1112761675823858,,,,1.024478129295723,2348.2077622956253,2059.2326101806343,,,2,16:26:59,2,2,2,2
449,2022.0,3.0,11.0,09,12,01,24,40649,5.0,-31.43,-116.00024,3301.8,3351.2,34.6824,1.7439,166.69,2.4763251488493268,,120.96188975610038,33.25602105223924,1.0236943243006427,2398.0527538157344,2305.660622782047,,,1,09:12:01,2,2,2,2
459,2022.0,3.0,11.0,13,09,44,24,40659,15.0,-31.43008,-116.00018,1998.6,2022.3,34.641,2.0728,155.77,2.509615152229716,,109.54094039119298,34.5875570571605,1.0236629300383058,2384.4788721567315,2295.052665621516,,,1,13:09:44,2,2,2,2
468,2022.0,3.0,11.0,13,35,43,24,40668,24.0,-31.43004,-116.0003,1001.8,1011.2,34.3146,4.4961,192.72,2.244445322260918,,29.013632979492137,31.07926528739792,1.023415441319881,2292.4997076180334,2204.9096995056766,,,1,13:35:43,2,2,2,2
473,2022.0,3.0,11.0,17,02,19,24,40673,5.0,-31.43007,-116.0002,599.9,604.9,34.3191,6.5357,245.39,1.6298312220620357,,6.481217323703526,22.24993210885768,1.0234188530820227,2273.110994748825,2150.6424170457567,,,4,17:02:19,2,2,2,2
479,2022.0,3.0,11.0,17,11,20,24,40679,11.0,-31.43004,-116.00012,231.1,232.8,34.921,15.4575,223.58,0.3789524079549467,0.0507874361176732,,1.5880840601410908,1.0238752726071316,2296.8732593531304,2085.9435415163603,,,4,17:11:20,2,2,2,2
488,2022.0,3.0,11.0,17,21,31,24,40688,20.0,-31.4301,-116.00016,7.4,7.5,35.7428,25.2598,210.88,0.1132261084357112,,,,1.024498692065035,2357.046854712266,2055.7807940211574,,,4,17:21:31,2,2,2,2
493,2022.0,3.0,12.0,08,31,54,25,40693,1.0,-31.43,-119.00008,3492.0,3545.9,34.6873,1.6961,169.38,2.4186819775199124,,120.0031602957951,34.67721789983012,1.0236980400949036,2393.7698964556503,2303.7884433236004,,,2,08:31:54,2,2,2,2
498,2022.0,3.0,12.0,08,57,43,25,40698,6.0,-31.42998,-119.00002,2295.3,2324.1,34.6581,1.8913,158.49,2.52423643772992,,116.14906664460128,35.37545438061671,1.0236758971452875,2383.7895127199818,2316.189783998024,,,2,08:57:43,2,2,2,2
503,2022.0,3.0,12.0,09,18,45,25,40703,11.0,-31.43002,-119.0001,1347.9,1361.7,34.493,2.9831,162.21,2.496212436553665,,68.49978182547441,35.551731645303846,1.023550705294738,2331.0378695389427,2256.1087357602823,,,2,09:18:45,2,2,2,2
