bottle,salinity,total_phosphate,total_silicate,total_ammonium,alkalinity,dic_corrected
SO289-41084,34.3695,2.242399879370701,37.44661236465452,0.0,2301.0443916510903,2214.1814930632827
SO289-40976,35.1737,0.0244124666179066,0.2372891755260525,0.0,2302.8814553171524,1999.7820011481379
SO289-40673,34.3191,1.6298312220620357,6.481217323703526,0.0,2273.110994748825,2150.6424170457567
SO289-41289,34.6872,2.4177053060602933,123.23068366255032,0.0,2396.1714447053687,2317.19101344415
SO289-41257,34.664,2.487104443550632,114.71940197675258,0.0,2393.374328148306,2309.384009698182
SO289-40059,34.5061,2.8058914073683456,77.14735897731248,0.0,2332.106952075768,2295.4187285890953
SO289-40958,34.7176,1.0608358931294086,3.203021080636584,0.0,2285.799860046077,2136.6117254212213
SO289-41306,35.6736,0.2986979739062526,0.6686539611953696,0.0,2325.4494212840877,2080.275052168581
SO289-40256,34.1222,0.6772408905924213,0.1016349965679824,0.0,2261.910240762179,2073.8083093163973
SO289-40349,34.293,1.9816316717450988,10.547205258785304,0.0,2271.0070080105065,2190.2625787720644
SO289-40076,34.6698,2.5437518245036905,122.14404642107064,0.0,2396.3780078391114,2318.368132309616
SO289-41244,34.6909,2.4694716209117007,123.93269958270074,0.0,2400.685700039202,2314.285346351217
SO289-41153,34.694,2.4167162818121346,118.1182293307032,0.0,2397.017454084138,2308.933352555868
SO289-41088,34.7403,1.116496350611201,3.583923981095797,0.0,2282.671044450939,2149.725973542238
SO289-41128,34.9455,0.9366205257426063,2.8733447202656395,0.0,2309.499660611053,2139.0898461309584
SO289-41109,34.677,2.534946535177636,131.24380417754176,0.0,2402.4509968548487,2304.821351601146
SO289-41137,35.5633,0.3426521379426683,0.6335647792729111,0.0,2322.668631732632,2097.573081123174
SO289-41129,35.3053,0.6112285810873163,1.5720096095057177,0.0,2310.0770121278024,2115.5221089829947
SO289-40273,34.4591,2.7161036585270306,66.25436596967394,0.0,2322.8807043029856,2271.9539691701366
SO289-40978,34.7198,2.2594009410899107,119.38584704631504,0.0,2371.532398527627,2270.8747620574795
SO289-40959,35.107,0.6552629768124759,1.5917714637918563,0.0,2299.242147272228,2111.0704390681544
SO289-40477,35.2726,0.1503697785715561,0.060538482282055,0.0,2321.170866842139,2061.9945638307286
SO289-40966,35.5612,0.1991485608637142,0.3934160295493964,0.0,2324.3355659691283,2085.6529224603664
SO289-40932,34.7136,2.2975077474851275,120.69241910736606,0.0,2376.49762268818,2279.889317392735
SO289-40551,34.6762,2.4685216534087804,117.4701758557048,0.0,2389.1389007962484,2297.6219735309605
SO289-41273,34.6533,2.4959160335956456,114.7486406600049,0.0,2369.1501557060574,2328.89371541858
SO289-40472,34.8247,0.192419973953043,0.0,0.0,2294.114093254846,2056.2499245046756
SO289-40980,34.6973,2.4430851436977687,127.4692616898303,0.0,2392.050948181418,2299.09350042176
SO289-40982,34.6669,2.567202056752948,129.0360936379796,0.0,2397.3010827361586,2316.2377948009757
SO289-40620,35.5246,0.1210543675326745,0.0,0.0,2329.4732993695648,2053.4103170613744
SO289-41210,35.112,0.8193198233211123,2.773382953792561,0.0,2292.432303893524,2131.837938583826
SO289-40946,34.6506,2.565279300749601,121.31446125014853,0.0,2391.269361726323,2309.70397060329
SO289-41247,34.6872,2.4733857918968334,123.94573832276691,0.0,2403.515525390496,2311.2727242190326
SO289-40947,34.6165,2.4950071730283883,106.98833029589782,0.0,2378.083461290943,2293.4058407992916
SO289-40333,34.8133,0.1982821551796872,0.153351223464093,0.0,2310.612998630942,2056.2802443380747
SO289-40496,34.3013,1.3572334652401254,3.038874065440454,0.0,2267.520223563185,2138.8237924442856
SO289-41017,35.5865,0.3338604488393897,0.6257442915381544,0.0,2326.519140199722,2100.2601627786025
SO289-40460,34.6643,2.4490060700410976,112.42569229712396,0.0,2383.0645419579605,2299.0621437693308
SO289-41016,35.2381,0.5917299638539936,1.46858393669374,0.0,2309.1329604000066,2113.265536567197
